Proveedor,Cod Proveedor,Origen,Comprador,Riesgo,Observaciones
Proveedor ejemplo 1,P0001,Nacional,Comprador 1,Medio,Reemplazar por maestro real
3M,2,Importado,Comprador 2,Alto,Reemplazar por maestro real
ACCESORIOS CELULARES,3,,,,
EKTION,23,,,,
GG,33,,,,
GV,34,,,,
GZ,35,,,,
MATAFUEGOS,61,,,,
LUX LED LIGHTING,58,,,,
IRON LED,47,,,,
LC,54,,,,
LS,57,,,,
MB,63,,,,
MD,64,,,,
MOHER,66,,,,
MALLORY,60,,,,
VERKEHR,97,,,,
WD-40,100,,,,
ZM,103,,,,
ALFA,4,,,,
BERU,5,,,,
BYC,9,,,,
CHAMPION,11,,,,
CHEFREN,12,,,,
COBREFLEX,13,,,,
DEXCO,16,,,,
DIVAIO,17,,,,
DOG,18,,,,
DOLAR,19,,,,
DRIVEN,20,,,,
DUCK,21,,,,
DZE,22,,,,
ELOD,25,,,,
DAEMA - TRIA,14,,,,
EXIMETAL,27,,,,
FELKO,29,,,,
FERRAZZI,30,,,,
GAREF,31,,,,
GENOUD,32,,,,
HDS,36,,,,
HIGHWAY START,42,,,,
HIT,40,,,,
HUTCHINSON,43,,,,
INDUMAG,45,,,,
ZEN,102,,,,
KASSLER,48,,,,
KESSEL,49,,,,
KOBLA,50,,,,
KUBE,52,,,,
KOBO LIGHTING,51,,,,
LITTON,55,,,,
MERCHANDISE,109,,,,
LOCTITE,56,,,,
MACO,59,,,,
MAVERICK,62,,,,
MIRBA,65,,,,
MOURA,68,,,,
NGK,69,,,,
NOSSO,70,,,,
NQD,71,,,,
LAM,53,,,,
OREGON,72,,,,
ORLAN ROBER,73,,,,
ORO,74,,,,
PHILIPS,75,,,,
PICBORG,76,,,,
PIONEER,77,,,,
PLASTITREBOL,78,,,,
PRECINTOS,106,,,,
POSITRON,79,,,,
POSITRON,80,,,,
RALUX,82,,,,
REBULA,83,,,,
RGU PRO,86,,,,
REIMOTOR,85,,,,
ROCKFORD FOSGATE,87,,,,
ROFIL,88,,,,
DERFOE,15,,,,
STARYEN,90,,,,
TAILLOT,92,,,,
TRICO,95,,,,
TERMOCONTRAIBLES,105,,,,
TOXIC SHINE,94,,,,
VEYPA,98,,,,
VUARAM,99,,,,
WILLARD BATERIAS,101,,,,
HID - XENON,38,,,,
WAGNER LOCKHEED,104,,,,
MCGARD,107,,,,
PITTS,108,,,,
IMPORTADOS VARIOS,44,,,,
TOP SAFE,200,,,,
MOTOLITE,201,,,,
ROYAL SUPER,202,,,,
SRA BEARINGS,203,,,,
MIRAGE TYRES,204,,,,
CROCOS DETAILING,205,,,,
MIKIMOTO,206,,,,
NOVOPLAST,207,,,,
AFA SELECCION,208,,,,
